ROW,TREE #,DBH,HT,HTLC,DIST from Tree 1,Dist from Tree 1 Ft,Tree,CuFT,CuMe,status
3,4,9.0,60.5423,,,0.0,124,11.890834594000001,0.33671038503137923,Alive
3,5,9.3,61.20566,,,0.0,125,12.818442529492003,0.3629772734191192,Alive
3,6,9.1,60.76472,,,0.0,126,12.195474982415998,0.3453368259820773,Alive
3,7,6.2,53.78674,,,0.0,127,5.140288239728002,0.1455565140267299,Alive
3,8,13.3,68.93246,,,0.0,128,29.239931581572005,0.8279812946090581,Alive
3,9,8.3,58.94896,,,0.0,129,9.884655373472004,0.27990180927953207,Alive
3,10,8.1,57.0,50.0,,0.0,130,9.120142600000001,0.25825325397568005,Alive
3,11,8.8,60.09356,,,0.0,131,11.295165781632003,0.3198429504053171,Alive
3,12,9.0,60.5423,,,0.0,132,11.890834594000001,0.33671038503137923,Alive
3,13,9.4,61.42418,,,0.0,133,13.136798496624003,0.37199209566920255,Alive
3,14,10.8,64.34696,,,0.0,134,18.082412006272,0.512036044299203,Alive
3,15,,0.0,,864.0,72.0,135,0.0,0.0,Dead
3,16,14.3,70.53916000000001,,,0.0,136,34.54992573159201,0.9783433369563447,Alive
3,17,8.0,58.2466,,,0.0,137,9.091612112000002,0.25744536185308164,Alive
3,18,12.1,66.83282,,,0.0,138,23.507773759356002,0.6656649279889321,Alive
3,19,10.5,63.74209999999999,,,0.0,139,16.945098329500002,0.47983096037678563,Alive
3,20,6.9,57.0,50.0,,0.0,140,6.678262600000002,0.18910702639168006,Alive
3,21,11.8,66.27866,,,0.0,141,22.183654671792006,0.6281701126101998,Alive
3,22,10.2,63.12554,,,0.0,142,15.850333212208001,0.44883071550345155,Alive
3,23,7.7,57.53254,,,0.0,143,8.337918225908002,0.2361031628193917,Alive
3,24,9.4,61.42418,,,0.0,144,13.136798496624003,0.37199209566920255,Alive
3,25,7.4,56.80678,,,0.0,145,7.623049469264002,0.21586036721125487,Alive
3,26,11.9,66.46468,,,0.0,146,22.620200736824003,0.6405317002244979,Alive
3,27,10.4,63.53788,,,0.0,147,16.575461899904006,0.46936403952720174,Alive
3,28,7.5,57.05,,,0.0,148,7.857058750000001,0.22248676121200003,Alive
3,29,8.0,58.2466,,,0.0,149,9.091612112000002,0.25744536185308164,Alive
3,30,10.6,62.0,52.0,1950.0,162.5,150,16.799331600000002,0.47570331305088004,Alive
