Row,Tree,pre_DBH,pre_HT,pre_stem_vol,pre_stem_vol_m3,status,DBH,HT
7,5,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
7,6,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
7,7,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
7,8,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
7,9,10.2,54.544,13.725,0.389,Alive,10.2,54.54418
7,10,10.0,43.0,10.453,0.296,Alive,10.0,43.0
7,11,10.3,54.752,14.044,0.398,Alive,10.3,54.75176999999999
7,12,6.7,47.279,5.271,0.149,Alive,6.7,47.27853
7,13,10.0,54.129,13.102,0.371,Alive,10.0,54.129
7,14,10.5,55.167,14.695,0.416,Alive,10.5,55.16695
7,15,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
8,1,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
8,2,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
8,3,5.6,44.995,3.578,0.101,Alive,5.6,44.99504
8,4,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
8,5,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
8,6,4.3,42.296,2.081,0.059,Alive,4.3,42.29637
8,7,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
8,8,5.7,45.203,3.715,0.105,Alive,5.7,45.20263
8,9,7.9,49.77,7.612,0.216,Alive,7.9,49.76961
8,10,7.4,49.0,6.606,0.187,Alive,7.4,49.0
8,11,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
8,12,11.0,56.205,16.405,0.465,Alive,11.0,56.204899999999995
8,13,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
8,14,10.5,55.167,14.695,0.416,Alive,10.5,55.16695
8,15,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
9,1,6.6,47.071,5.099,0.144,Alive,6.6,47.07093999999999
9,2,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
9,3,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
9,4,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
9,5,9.8,53.714,12.497,0.354,Alive,9.8,53.71382
9,6,8.3,50.6,8.516,0.241,Alive,8.3,50.59997
9,7,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
9,8,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
9,9,10.0,54.129,13.102,0.371,Alive,10.0,54.129
9,10,9.2,54.0,11.097,0.314,Alive,9.2,54.0
9,11,10.7,55.582,15.365,0.435,Alive,10.7,55.58212999999999
9,12,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
