Row,Tree,X,Y
5,38,725391.75,4162679.75
5,39,725389.96,4162679.06
5,40,725388.68,4162678.0
5,41,725387.53,4162676.92
5,42,725386.25,4162675.75
5,43,725384.25,4162674.75
5,44,725382.75,4162673.75
5,45,725379.75,4162671.75
5,46,725376.75,4162669.75
5,47,725374.75,4162669.25
5,48,725373.25,4162667.75
5,49,725370.25,4162666.25
5,50,725366.32,4162664.19
5,51,725367.25,4162662.25
6,1,725480.75,4162735.25
6,2,725478.75,4162733.75
6,3,725475.75,4162731.75
6,4,725473.34,4162731.29
6,5,725472.75,4162730.25
6,6,725471.25,4162728.75
6,7,725470.25,4162727.75
6,8,725468.25,4162726.75
6,9,725465.25,4162724.75
6,10,725459.25,4162720.75
6,11,725457.75,4162719.75
6,12,725454.25,4162717.75
6,13,725451.25,4162715.75
6,14,725449.75,4162715.25
6,15,725447.03,4162712.84
6,16,725445.25,4162711.75
6,17,725443.25,4162710.25
6,18,725437.25,4162706.25
6,19,725434.25,4162704.25
6,20,725430.75,4162702.25
6,21,725427.75,4162700.25
6,22,725424.25,4162698.25
6,23,725421.75,4162696.25
6,24,725418.75,4162694.75
6,25,725415.25,4162692.25
6,26,725412.75,4162690.75
6,27,725409.75,4162687.75
6,28,725407.85,4162686.75
6,29,725405.25,4162685.75
6,30,725404.25,4162684.75
6,31,725401.25,4162682.25
6,32,725398.38,4162680.76
6,33,725396.75,4162679.25
6,34,725395.25,4162678.75
6,35,725393.62,4162677.75
6,36,725391.75,4162676.25
6,37,725390.75,4162675.25
6,38,725388.83,4162674.76
6,39,725387.89,4162673.57
6,40,725385.75,4162672.75
6,41,725384.25,4162671.75
6,42,725382.75,4162670.75
6,43,725381.25,4162669.75
6,44,725379.25,4162668.75
6,45,725378.25,4162667.25
6,46,725376.85,4162666.1
6,47,725375.25,4162665.75
6,48,725373.75,4162664.75
6,49,725371.75,4162663.75
6,50,725369.25,4162663.25
6,51,725368.25,4162659.75
6,52,725364.75,4162659.75
7,1,725484.75,4162734.25
7,2,725481.25,4162731.25
7,3,725478.75,4162730.25
7,4,725476.25,4162728.25
7,5,725474.75,4162726.75
7,6,725472.75,4162726.25
7,7,725469.75,4162724.25
7,8,725467.07,4162722.5
7,9,725465.25,4162720.75
7,10,725462.25,4162719.25
7,11,725460.75,4162718.25
7,12,725455.71,4162716.88
7,13,725456.25,4162714.75
7,14,725453.25,4162713.25
7,15,725451.44,4162712.17
7,16,725449.75,4162711.25
7,17,725447.25,4162708.75
7,18,725442.25,4162705.75
7,19,725439.25,4162703.25
7,20,725435.75,4162701.75
7,21,725432.75,4162699.25
7,22,725429.75,4162697.25
7,23,725423.25,4162693.75
7,24,725420.25,4162691.75
7,25,725414.25,4162687.25
7,26,725411.25,4162685.75
7,27,725407.25,4162683.25
7,28,725404.25,4162681.25
7,29,725402.75,4162679.75
7,30,725401.25,4162679.25
7,31,725400.25,4162678.75
7,32,725398.75,4162677.25
7,33,725397.33,4162676.11
7,34,725394.75,4162675.25
7,35,725393.75,4162674.25
7,36,725391.75,4162672.75
7,37,725388.75,4162671.25
7,38,725387.22,4162670.28
7,39,725384.75,4162668.25
7,40,725382.75,4162667.25
7,41,725379.25,4162665.75
7,42,725378.25,4162664.25
