Row,Tree,pre_DBH,pre_HT,pre_LLC,pre_stem_vol
3,55,,,,
4,1,9.8,68.738392,,15.9313817
4,2,9.9,68.864543,,16.28309499
4,3,6.1,60.770923,,5.601350787
4,4,8.6,66.858448,,11.98823494
4,5,6,60.4664,,5.400251152
4,6,9.4,68.186848,,14.55896594
4,7,7.4,64.302568,,8.599966524
4,8,8.8,67.218712,,12.6083826
4,9,9.8,68.738392,,15.9313817
4,10,8,72.3,45.8,11.232226
4,11,5.3,58.203307,,4.110625527
4,12,9.9,68.864543,,16.28309499
4,13,7.1,63.557983,,7.844909857
4,14,10.2,69.214832,,17.35813447
4,15,8.4,66.479408,,11.38356313
4,16,7.8,65.229632,,9.66468853
4,17,8.8,67.218712,,12.6083826
4,18,6.8,62.771152,,7.127530603
4,19,7.6,64.775488,,9.124098605
4,20,7.2,71.2,53.6,9.00408904
4,21,8.7,67.040927,,12.29639008
4,22,8.1,65.875643,,10.50609023
4,23,8.3,66.282847,,11.08710628
4,24,6.6,62.223128,,6.670335905
4,25,9.6,68.472008,,15.23819501
4,26,12.2,70.470472,,25.18289362
4,27,12.2,70.470472,,25.18289362
4,28,11.5,78.2,51.8,24.833331
4,29,9.9,,,0.21949
4,30,8,65.665,,10.2215828
4,31,9.6,68.472008,,15.23819501
4,32,10.3,69.322207,,17.7229452
4,33,8.9,67.391803,,12.92417922
4,34,10,68.986,,16.638158
4,35,10.1,69.102763,,16.99652139
4,36,7.9,65.449663,,9.941108053
4,37,9.2,72.3,57.8,14.78383336
4,38,8.5,66.671275,,11.68394909
4,39,6.8,62.771152,,7.127530603
4,40,8.9,,,0.21949
4,41,9,67.5602,,13.24374536
4,42,9.4,68.186848,,14.55896594
4,43,7.2,63.810872,,8.092424339
4,44,8.2,66.081592,,10.79460647
4,45,6.9,63.038123,,7.362453186
4,46,7.2,71.6,56.7,9.05344072
4,47,9.1,67.723903,,13.56704505
4,48,8,65.665,,10.2215828
4,49,8.1,65.875643,,10.50609023
4,50,8,65.665,,10.2215828
4,51,8.5,66.671275,,11.68394909
4,52,9.1,67.723903,,13.56704505
4,53,5.9,,,0.21949
4,54,10.7,74.7,47,20.57420914
4,55,,,,
4,56,,,,
4,57,,,,
5,1,9,67.5602,,13.24374536
5,2,8.8,67.218712,,12.6083826
5,3,7.1,63.557983,,7.844909857
5,4,9.2,67.882912,,13.89404102
5,5,6.5,,,0.21949
5,6,8.2,66.081592,,10.79460647
5,7,7.9,65.449663,,9.941108053
5,8,8.8,67.218712,,12.6083826
5,9,8.2,66.081592,,10.79460647
5,10,7,65.1,43.5,7.811452
5,11,10.6,69.616168,,18.83602287
5,12,6,,,0.21949
5,13,7.3,64.059067,,8.344114279
5,14,8.5,66.671275,,11.68394909
5,15,9.6,68.472008,,15.23819501
5,16,7,63.3004,,7.601582648
5,17,8.8,71,48.8,13.3053012
5,18,9.5,68.331775,,14.89681361
5,19,7.3,64.059067,,8.344114279
5,20,9,67.5602,,13.24374536
5,21,11.1,70.012223,,20.74986027
5,22,12.9,70.466363,,28.12810177
5,23,11.4,70.193528,,21.93068514
5,24,9.1,67.723903,,13.56704505
5,25,12.4,76.4,44.5,28.17797832
5,26,10.7,69.704767,,19.21307708
5,27,10.3,69.322207,,17.7229452
5,28,12,70.4294,,24.35705397
5,29,10.8,69.788672,,19.59304867
5,30,11.1,70.012223,,20.74986027
5,31,10.9,69.867883,,19.97587757
5,32,8.2,66.081592,,10.79460647
5,33,8.7,,,0.21949
5,34,9.3,68.037227,,14.22469464
5,35,7.5,65.6,47.6,9.00169
5,36,8.8,67.218712,,12.6083826
5,37,9.4,68.186848,,14.55896594
5,38,9,67.5602,,13.24374536
5,39,8.3,66.282847,,11.08710628
5,40,7.6,,,0.21949
5,41,6.5,61.942075,,6.448075352
5,42,7.8,65.229632,,9.66468853
5,43,6.8,,,0.21949
5,44,8.5,68.1,46.2,11.9296255
5,45,9.8,68.738392,,15.9313817
5,46,8.7,67.040927,,12.29639008
5,47,8.5,66.671275,,11.68394909
5,48,8.2,66.081592,,10.79460647
5,49,9.3,68.037227,,14.22469464
5,50,7.5,64.541375,,8.859966578
5,51,8,65.665,,10.2215828
5,52,7.4,,,0.21949
5,53,8.4,66.479408,,11.38356313
5,54,8.2,70,45.5,11.421674
6,1,11.8,70.369552,,23.53934028
6,2,9.5,68.331775,,14.89681361
6,3,5.9,60.157183,,5.203380266
6,4,9.1,67.723903,,13.56704505
6,5,8.7,67.040927,,12.29639008
6,6,7.5,64.541375,,8.859966578
6,7,6.3,61.365887,,6.016246691
6,8,8.5,66.671275,,11.68394909
6,9,7.1,66.9,46.8,8.24587102
6,10,10.2,,,0.21949
6,11,9.3,68.037227,,14.22469464
6,12,9.8,68.738392,,15.9313817
6,13,5.9,60.157183,,5.203380266
6,14,8.4,66.479408,,11.38356313
6,15,8.4,66.479408,,11.38356313
6,16,7.5,,,0.21949
6,17,9.4,73.5,49.4,15.6763048
6,18,8.4,66.479408,,11.38356313
6,19,8.4,66.479408,,11.38356313
6,20,4.5,,,0.21949
6,21,9.2,67.882912,,13.89404102
6,22,9.9,68.864543,,16.28309499
6,23,10.3,69.322207,,17.7229452
6,24,10.1,69.102763,,16.99652139
6,25,10.7,69.704767,,19.21307708
6,26,11.6,70.290928,,22.73035651
6,27,11.5,78.6,45.4,24.959233
6,28,11.2,70.077352,,21.14088722
6,29,10.5,69.522875,,18.46194479
6,30,8.5,66.671275,,11.68394909
6,31,9.9,68.864543,,16.28309499
6,32,9.2,67.882912,,13.89404102
6,33,9,67.5602,,13.24374536
6,34,8.4,70.7,45.3,12.09233896
6,35,7.3,64.059067,,8.344114279
6,36,7,63.3004,,7.601582648
6,37,6.9,63.038123,,7.362453186
6,38,8.1,65.875643,,10.50609023
6,39,7.4,64.302568,,8.599966524
6,40,8.6,66.858448,,11.98823494
6,41,7.7,65.004907,,9.392345428
6,42,8.6,66.858448,,11.98823494
6,43,9.5,68.8,46.2,14.997386
6,44,7.8,65.229632,,9.66468853
6,45,6.1,60.770923,,5.601350787
6,46,9.2,67.882912,,13.89404102
6,47,9.6,68.472008,,15.23819501
6,48,6.8,62.771152,,7.127530603
6,49,8.4,66.479408,,11.38356313
6,50,7.1,63.557983,,7.844909857
6,51,10.5,70.9,46.2,18.8232955
7,1,10.5,69.522875,,18.46194479
7,2,7.7,65.004907,,9.392345428
7,3,8,65.665,,10.2215828
7,4,8.9,67.391803,,12.92417922
7,5,8.1,65.875643,,10.50609023
7,6,6.9,63.038123,,7.362453186
7,7,9.8,68.738392,,15.9313817
7,8,6.6,62.223128,,6.670335905
7,9,9.6,69,49.8,15.3540052
7,10,8.3,66.282847,,11.08710628
7,11,10.6,69.616168,,18.83602287
7,12,5.8,,,0.21949
7,13,4.4,,,0.21949
7,14,7.8,65.229632,,9.66468853
7,15,8.2,66.081592,,10.79460647
7,16,6.6,62.223128,,6.670335905
7,17,8.1,65.875643,,10.50609023
7,18,7.9,68.4,57.4,10.37933872
7,19,8.8,67.218712,,12.6083826
7,20,7.2,63.810872,,8.092424339
7,21,6.9,63.038123,,7.362453186
7,22,10.1,69.102763,,16.99652139
7,23,8.9,67.391803,,12.92417922
7,24,11.2,70.077352,,21.14088722
7,25,10,68.986,,16.638158
7,26,9.9,68.864543,,16.28309499
7,27,10.4,69.424888,,18.09090021
7,28,10.7,77.3,44.1,21.28267326
7,29,11,69.9424,,20.36150235
7,30,8.7,67.040927,,12.29639008
7,31,12.3,70.483967,,25.59866609
7,32,11.3,70.137787,,21.53451777
7,33,12.6,70.496288,,26.85642783
7,34,8.8,67.218712,,12.6083826
7,35,9.5,68.331775,,14.89681361
7,36,6.9,63.9,47.7,7.46011402
7,37,8.8,67.218712,,12.6083826
